Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,area
Bolivia,. .,102,137,144,142,110,135,141,147,181,229,177,174,185,161,174,169,170,180,222,328,346,328,351,396,445,"""019"""
Brazil,5900,8725,24732,6697,5943,8450,11012,14319,14073,13934,14351,9861,11340,10891,9666,8394,9781,13591,16407,20486,24453,25654,34007,36932,33988,31456,"""019"""
Chile,1029,978,1031,1038,1169,1291,1466,1828,1904,2121,2112,2043,2103,1893,1780,1828,2492,3001,3730,3958,4546,3760,4707,5440,5476,5435,"""019"""
Colombia,799,881,890,911,1102,1529,2005,2619,4319,2989,3390,3247,3028,3264,3348,3278,4057,4914,5327,6776,9051,9033,10422,10307,11706,13003,"""019"""
Ecuador,198,189,202,209,211,276,291,475,419,499,549,296,266,384,505,739,710,954,950,1310,1646,1949,2094,2454,2590,2803,"""019"""
Guyana,8.4,4.6,3.6,2,3.6,4.4,5.5,5.7,5.6,. .,. .,. .,10.7,12.2,13.8,13.9,14.1,15.7,16.3,21.3,26,28.4,28.8,30.2,31.3,33.2,"""019"""
Paraguay,. .,74.8,89.4,143,142,108,120,149,143,174,145,121,114,94.5,72.4,65.7,87.5,80.8,110,136,178,178,216,302,339,477,"""019"""
Peru,. .,81.5,23.9,399,640,677,787,1001,989,1190,1155,1004,954,908,848,889,995,1159,1225,1253,1387,1712,1958,2029,2566,2865,"""019"""
Uruguay,260,298,328,269,367,419,450,524,576,575,573,574,562,524,344,277,288,361,404,431,593,651,788,902,971,1042,"""019"""
Venezuela,. .,. .,. .,984,993,1288,929,1199,733,1541,1451,1408,1788,1911,1071,988,1449,2054,2998,2970,4325,4020,3363,2385,4966,5313,"""019"""
Kazakhstan,xxx,xxx,xxx,xxx,. .,. .,107,178,242,237,243,144,144,221,246,318,426,592,793,1360,1541,1272,1502,1804,2434,2799,"""142"""
Kyrgyzstan,xxx,xxx,xxx,xxx,. .,. .,28.7,51.6,54.6,55,43.8,32.5,39.4,35.8,43.8,55.1,63,75.7,89.8,116,149,149,184,211,212,234,"""142"""
Tajikistan,xxx,xxx,xxx,xxx,. .,23.5,14.2,5.8,13.5,19.1,22.6,15.1,10.4,12.5,25.6,34.8,45.1,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""142"""
Turkmenistan,xxx,xxx,xxx,xxx,. .,. .,79.6,136,48.5,106,87.5,112,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""142"""
Uzbekistan,xxx,xxx,xxx,xxx,. .,. .,86.9,113,172,218,. .,250,115,59.8,45.9,54.1,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""142"""
Brunei,178,186,231,245,252,234,262,286,328,369,294,258,244,218,226,243,199,249,293,323,362,350,391,415,411,412,"""142"""
Cambodia,. .,. .,29.1,43.3,62.3,44.6,107,123,114,103,83.3,88.2,80.3,70.7,67.6,67.8,67.7,72.4,94.7,94.4,124,236,178,204,217,243,"""142"""
China,. .,11686,10244,10012,12494,12704,10083,12525,15022,16044,18094,20560,22190,27413,31630,34771,40014,46290,56666,71740,91658,111785,123338,147268,167712,188460,"""142"""
Indonesia,836,868,995,1045,1163,1191,1380,1527,1720,1593,614,813,. .,766,1537,2317,2429,2146,2612,3349,3232,3304,4663,5838,7770,7840,"""142"""
Japan,26200,24787,24974,28645,32927,39514,44534,48889,42550,38835,36599,43160,45976,40418,39113,42725,45585,44689,42180,41465,46755,51464,53796,60452,59564,48604,"""142"""
North Korea,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""142"""
South Korea,8136,9658,10111,10991,11615,12378,13520,15480,16409,14848,10458,12095,13801,12942,14102,15847,17830,22160,25177,27726,26072,24409,27572,30884,31660,33937,"""142"""
Laos,. .,. .,. .,. .,101,105,114,109,77.1,60.3,33.4,15.5,13.6,12.5,11.4,10.9,11.4,11.7,13.3,14.6,17.2,14,16.3,18.7,20,. .,"""142"""
Malaysia,856,1019,1125,1572,1767,1923,2121,2444,2421,2089,1159,1663,1533,1934,2238,2882,2823,3120,3266,3970,4412,3964,3854,4807,4695,4842,"""142"""
Mongolia,. .,. .,42.3,111,33.1,14.1,16.4,21.3,21.6,18.7,19.9,18,24.3,23.1,25.3,24.3,27.7,29.8,39.2,56.6,66.7,37.6,54.9,87.2,115,. .,"""142"""
Myanmar,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""142"""
Philippines,932,955,951,913,1079,1173,1392,1700,1879,1576,1226,1341,1303,1122,1199,1301,1243,1373,1607,2014,2271,2116,2438,2701,2899,3472,"""142"""
Singapore,1206,1410,1802,2023,2332,2481,2797,3673,4100,4457,4466,4493,4331,4309,4530,4724,5043,5464,5831,6519,7454,7535,8106,8921,9353,9759,"""142"""
Taiwan,7110,8142,8701,9304,10071,11653,11953,11470,11765,11325,9232,9569,8801,7982,7531,7473,7833,8011,7645,8157,8960,9123,9092,9998,10715,10530,"""142"""
Thailand,1806,1981,2321,2586,2972,3134,3561,3909,3988,3076,2042,1982,1827,1725,1813,1891,1867,1986,2446,3527,4458,4798,4971,5501,5478,5891,"""142"""
Timor Leste,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.3,8.2,17.1,23.7,23.7,36.5,26.4,20.5,29.8,29.2,"""142"""
Viet Nam,1306,459,512,428,333,298,431,. .,. .,. .,. .,. .,. .,. .,. .,842,915,1026,1287,1785,2138,2401,2672,2686,3361,3387,"""142"""
